ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
1126,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Integer","RowNumber","",True,True,True,False,"Default","Default","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (1126)","RowNumber","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","","",True,"","GroupOnValue","","","",""
1145,"Date","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Date","PaddedDateTableDates","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$Date (1145)","CalculatedTableColumn","Date","","",True,"","GroupOnValue","","","","a225c8e6-ab6e-4ac1-8280-ce3ffe49a27f"
1146,"Year","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Integer","Years","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$Year (1146)","Calculated","","YEAR([Date])","",True,"","GroupOnValue","","","","16225b43-3224-4366-9f0f-a1659a73413f"
1147,"MonthNo","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Integer","MonthOfYear","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$MonthNo (1147)","Calculated","","MONTH([Date])","",True,"","GroupOnValue","","","","96eabf76-d682-4c7c-9a07-bfc86089c5f1"
1148,"Month","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Text","Months","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$Month (1148)","Calculated","","FORMAT([Date], ""MMMM"")","",True,"MonthNo","GroupOnValue","","","","ef52a616-d754-42a2-b4ee-432c0c7fa81b"
1149,"QuarterNo","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Integer","QuarterOfYear","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$QuarterNo (1149)","Calculated","","INT(([MonthNo] + 2) / 3)","",True,"","GroupOnValue","","","","0c3345c2-74d6-4566-bd88-b02d02aba2bb"
1150,"Quarter","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Text","Quarters","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$Quarter (1150)","Calculated","","""Qtr "" & [QuarterNo]","",True,"QuarterNo","GroupOnValue","","","","c3f0c39a-4c71-4af2-9ce3-bfb6d72b2c80"
1151,"Day","DateTableTemplate_156d16e1-a728-4049-96d6-138fd0044555","Integer","DayOfMonth","",True,False,False,True,"Default","None","DateTableTemplate 156d16e1 a728 4049 96d6 138fd0044555 (1125)$Day (1151)","Calculated","","DAY([Date])","",True,"","GroupOnValue","","","","51f68225-8300-4525-bba9-10d57b964c99"
6565,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","DB Contracts","Integer","RowNumber","",True,True,True,False,"Default","Default","contract dummy contracts (6564)$RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (6565)","RowNumber","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","","",True,"","GroupOnValue","","","",""
6575,"Contract_Number","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Contract Number (6575)","Data","Contract_Number","","",True,"","GroupOnValue","","","","04748ba1-6519-42c6-9535-6314b0c5ac65"
6576,"Contract_Date","DB Contracts","Date","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Contract Date (6576)","Data","Contract_Date","","Long Date",True,"","GroupOnValue","","","","f7f263d1-2515-4907-95c8-ee8c5a7c5fb5"
6584,"Expired_Date","DB Contracts","Date","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Expired Date (6584)","Data","Expired_Date","","Long Date",True,"","GroupOnValue","","","","8eed2aa0-c40a-4ced-ad0c-2faab8664136"
6592,"PT","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$PT (6592)","Data","PT","","",True,"","GroupOnValue","","","","a119044d-7a48-49dc-b3ec-316b451f62bb"
6593,"Category","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Category (6593)","Data","Category","","",True,"","GroupOnValue","","","","4e4cc76a-7df0-4fe9-850e-a50c50bc2053"
6594,"Contract_Name","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Contract Name (6594)","Data","Contract_Name","","",True,"","GroupOnValue","","","","3cade6ab-960d-4be4-ba96-ad9f0d167aa4"
6595,"Vendor","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Vendor (6595)","Data","Vendor","","",True,"","GroupOnValue","","","","949ffa2d-ebb2-4f29-a0ac-5a48f1985b51"
6596,"Vendor_2","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Vendor 2 (6596)","Data","Vendor_2","","",True,"","GroupOnValue","","","","db0119cf-43f3-4146-b214-e33a73e66605"
6597,"Contract_Amount","DB Contracts","Number","Regular","",False,False,False,True,"Default","Sum","contract dummy contracts (6564)$Contract Amount (6597)","Data","Contract_Amount","","""Rp""#,0;-""Rp""#,0;""Rp""#,0",True,"","GroupOnValue","","","","b6450dfe-5503-431d-9356-d3833b73beab"
6598,"Price_Change","DB Contracts","Number","Regular","",False,False,False,True,"Default","Sum","contract dummy contracts (6564)$Price Change (6598)","Data","Price_Change","","""Rp""#,0;-""Rp""#,0;""Rp""#,0",True,"","GroupOnValue","","","","8eb487ea-cb41-4e2b-90bf-8fcf20bbcd58"
6599,"Contract_Amount_After_Price_Change","DB Contracts","Number","Regular","",False,False,False,True,"Default","Sum","contract dummy contracts (6564)$Contract Amount After Price Change (6599)","Data","Contract_Amount_After_Price_Change","","""Rp""#,0;-""Rp""#,0;""Rp""#,0",True,"","GroupOnValue","","","","2ea95943-dc7b-4d64-9960-6555bb9674ce"
6600,"Cost_Saving","DB Contracts","Number","Regular","",False,False,False,True,"Default","Sum","contract dummy contracts (6564)$Cost Saving (6600)","Data","Cost_Saving","","""Rp""#,0;-""Rp""#,0;""Rp""#,0",True,"","GroupOnValue","","","","78e13fbc-b301-4cb5-9564-469e0452c83b"
6601,"Contract_Process","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Contract Process (6601)","Data","Contract_Process","","",True,"","GroupOnValue","","","","50b25e8e-7c66-4edf-9e10-292b4e479166"
6602,"User_Department","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$User Department (6602)","Data","User_Department","","",True,"","GroupOnValue","","","","a8fdf6a0-35c6-4197-be9f-20c22c701eea"
6603,"User_Detail","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$User Detail (6603)","Data","User_Detail","","",True,"","GroupOnValue","","","","77b5372a-4bfa-4c7c-b948-ae28714e4ec3"
6604,"Contract_PIC","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Contract PIC (6604)","Data","Contract_PIC","","",True,"","GroupOnValue","","","","2dee4150-224b-4115-b739-74a777666fdd"
6605,"Status","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Status (6605)","Data","Status","","",True,"","GroupOnValue","","","","8ccfe025-0f6a-4aa9-a8dc-144d75359684"
6606,"Remarks","DB Contracts","Text","Regular","",False,False,False,True,"Default","None","contract dummy contracts (6564)$Remarks (6606)","Data","Remarks","","",True,"","GroupOnValue","","","","7d2031ba-8d86-4323-9837-a720df5ec82f"
6568,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Integer","RowNumber","",True,True,True,False,"Default","Default","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (6568)","RowNumber","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","","",True,"","GroupOnValue","","","",""
6577,"Date","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Date","PaddedDateTableDates","",True,True,False,False,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$Date (6577)","CalculatedTableColumn","Date","","",True,"","GroupOnValue","","","","94151393-b09e-48da-b347-4ef42425c5e3"
6578,"Year","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Integer","Years","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$Year (6578)","Calculated","","YEAR([Date])","",True,"","GroupOnValue","","","","78e063a8-7306-4736-8e87-e246dc5bf7ba"
6579,"MonthNo","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Integer","MonthOfYear","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$MonthNo (6579)","Calculated","","MONTH([Date])","",True,"","GroupOnValue","","","","b14af650-01d7-469c-8f0d-70a6746ad4b4"
6580,"Month","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Text","Months","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$Month (6580)","Calculated","","FORMAT([Date], ""MMMM"")","",True,"MonthNo","GroupOnValue","","","","5cabb7c3-63af-4b98-b468-f15bcf879495"
6581,"QuarterNo","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Integer","QuarterOfYear","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$QuarterNo (6581)","Calculated","","INT(([MonthNo] + 2) / 3)","",True,"","GroupOnValue","","","","78b8f599-d854-4b82-8a12-00514ac6e77f"
6582,"Quarter","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Text","Quarters","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$Quarter (6582)","Calculated","","""Qtr "" & [QuarterNo]","",True,"QuarterNo","GroupOnValue","","","","7de79eae-2c8b-476c-9fc8-a3868c11f6b0"
6583,"Day","LocalDateTable_02ca3db2-d406-4c91-8dd2-b22abcb3e06d","Integer","DayOfMonth","",True,False,False,True,"Default","None","LocalDateTable 02ca3db2 d406 4c91 8dd2 b22abcb3e06d (6567)$Day (6583)","Calculated","","DAY([Date])","",True,"","GroupOnValue","","","","a7c14700-76dd-458a-8f0d-2ad2e606daa3"
6571,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Integer","RowNumber","",True,True,True,False,"Default","Default","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (6571)","RowNumber","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","","",True,"","GroupOnValue","","","",""
6585,"Date","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Date","PaddedDateTableDates","",True,True,False,False,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$Date (6585)","CalculatedTableColumn","Date","","",True,"","GroupOnValue","","","","bd219a7f-f3f0-4cbc-9881-55c10dc754de"
6586,"Year","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Integer","Years","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$Year (6586)","Calculated","","YEAR([Date])","",True,"","GroupOnValue","","","","586991d8-c6bd-4f4d-b9e8-412ef6f1e68c"
6587,"MonthNo","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Integer","MonthOfYear","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$MonthNo (6587)","Calculated","","MONTH([Date])","",True,"","GroupOnValue","","","","a1991a69-ed78-42d3-ad7c-81e881209117"
6588,"Month","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Text","Months","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$Month (6588)","Calculated","","FORMAT([Date], ""MMMM"")","",True,"MonthNo","GroupOnValue","","","","c4d972c3-b950-4199-a41d-8f66b067ccbc"
6589,"QuarterNo","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Integer","QuarterOfYear","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$QuarterNo (6589)","Calculated","","INT(([MonthNo] + 2) / 3)","",True,"","GroupOnValue","","","","84219355-9787-4f44-878d-360f1fa6e2fb"
6590,"Quarter","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Text","Quarters","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$Quarter (6590)","Calculated","","""Qtr "" & [QuarterNo]","",True,"QuarterNo","GroupOnValue","","","","e59e033c-5337-4f21-86f6-3a4d190fed06"
6591,"Day","LocalDateTable_54f66b41-325b-4e4c-ac3c-2760d69bb01a","Integer","DayOfMonth","",True,False,False,True,"Default","None","LocalDateTable 54f66b41 325b 4e4c ac3c 2760d69bb01a (6570)$Day (6591)","Calculated","","DAY([Date])","",True,"","GroupOnValue","","","","8d665d2b-30a9-4cb9-bf34-39203812571a"
